# Time X Y Z VX VY VZ Phi Theta Psi P Q R U1 U2 U3 U4
0.310000 -0.004049 0.001966 1.095082 -0.026447 0.012691 0.326491 0.003614 0.007221 0.032014 -0.008633 -0.015420 0.100000 4.979132 4.981370 4.982097 4.979859
0.320000 -0.004317 0.002095 1.098355 -0.027170 0.013024 0.327993 0.003536 0.007064 0.033014 -0.008491 -0.015176 0.100000 4.978728 4.981117 4.981895 4.979505
0.330000 -0.004593 0.002226 1.101642 -0.027877 0.013349 0.329488 0.003458 0.006910 0.034013 -0.008344 -0.014921 0.100000 4.978347 4.980851 4.981666 4.979162
0.340000 -0.004875 0.002362 1.104944 -0.028569 0.013665 0.330977 0.003383 0.006759 0.035013 -0.008192 -0.014656 0.100000 4.977986 4.980572 4.981415 4.978828
0.350000 -0.005164 0.002500 1.108262 -0.029246 0.013975 0.332461 0.003308 0.006611 0.036012 -0.008038 -0.014385 0.100000 4.977640 4.980283 4.981145 4.978502
0.360000 -0.005460 0.002641 1.111594 -0.029908 0.014276 0.333938 0.003235 0.006465 0.037012 -0.007882 -0.014111 0.100000 4.977307 4.979986 4.980859 4.978180
0.370000 -0.005762 0.002785 1.114940 -0.030556 0.014571 0.335409 0.003163 0.006322 0.038012 -0.007725 -0.013834 0.100000 4.976984 4.979681 4.980561 4.977863
0.380000 -0.006071 0.002932 1.118302 -0.031190 0.014858 0.336874 0.003093 0.006182 0.039011 -0.007568 -0.013557 0.100000 4.976668 4.979371 4.980252 4.977550
0.390000 -0.006386 0.003082 1.121678 -0.031810 0.015138 0.338333 0.003024 0.006045 0.040011 -0.007412 -0.013280 0.100000 4.976359 4.979055 4.979934 4.977238
0.400000 -0.006707 0.003235 1.125068 -0.032416 0.015411 0.339786 0.002957 0.005910 0.041010 -0.007257 -0.013005 0.100000 4.976054 4.978734 4.979608 4.976928
0.410000 -0.007034 0.003391 1.128473 -0.033010 0.015678 0.341232 0.002891 0.005779 0.042010 -0.007104 -0.012731 0.100000 4.975753 4.978409 4.979276 4.976620
0.420000 -0.007367 0.003549 1.131893 -0.033590 0.015938 0.342672 0.002826 0.005650 0.043010 -0.006952 -0.012461 0.100000 4.975454 4.978081 4.978939 4.976311
0.430000 -0.007706 0.003709 1.135327 -0.034157 0.016192 0.344106 0.002763 0.005524 0.044009 -0.006802 -0.012195 0.100000 4.975156 4.977750 4.978597 4.976003
0.440000 -0.008050 0.003872 1.138775 -0.034712 0.016439 0.345533 0.002701 0.005400 0.045009 -0.006655 -0.011932 0.100000 4.974860 4.977417 4.978251 4.975694
0.450000 -0.008400 0.004038 1.142238 -0.035255 0.016680 0.346954 0.002641 0.005280 0.046009 -0.006510 -0.011673 0.100000 4.974564 4.977081 4.977902 4.975385
0.460000 -0.008755 0.004206 1.145714 -0.035786 0.016916 0.348369 0.002582 0.005161 0.047008 -0.006367 -0.011418 0.100000 4.974267 4.976742 4.977550 4.975075
0.470000 -0.009116 0.004376 1.149205 -0.036305 0.017145 0.349777 0.002524 0.005046 0.048008 -0.006227 -0.011168 0.100000 4.973971 4.976402 4.977196 4.974765
0.480000 -0.009481 0.004549 1.152710 -0.036813 0.017369 0.351179 0.002467 0.004933 0.049008 -0.006090 -0.010922 0.100000 4.973674 4.976060 4.976839 4.974453
0.490000 -0.009852 0.004724 1.156228 -0.037309 0.017587 0.352574 0.002412 0.004823 0.050008 -0.005955 -0.010682 0.100000 4.973375 4.975717 4.976481 4.974140
0.500000 -0.010227 0.004901 1.159761 -0.037795 0.017800 0.353963 0.002358 0.004715 0.051007 -0.005823 -0.010445 0.100000 4.973076 4.975371 4.976121 4.973825
0.510000 -0.010608 0.005080 1.163308 -0.038270 0.018008 0.355345 0.002305 0.004609 0.052007 -0.005694 -0.010214 0.100000 4.972775 4.975025 4.975759 4.973510
0.520000 -0.010993 0.005261 1.166868 -0.038734 0.018210 0.356720 0.002253 0.004506 0.053007 -0.005567 -0.009987 0.100000 4.972473 4.974677 4.975396 4.973193
0.530000 -0.011382 0.005444 1.170442 -0.039188 0.018408 0.358089 0.002203 0.004405 0.054007 -0.005443 -0.009765 0.100000 4.972169 4.974327 4.975032 4.972874
0.540000 -0.011776 0.005629 1.174030 -0.039632 0.018601 0.359451 0.002153 0.004306 0.055007 -0.005321 -0.009547 0.100000 4.971864 4.973976 4.974667 4.972554
0.550000 -0.012175 0.005816 1.177631 -0.040067 0.018788 0.360807 0.002105 0.004209 0.056006 -0.005203 -0.009335 0.100000 4.971557 4.973625 4.974300 4.972232
0.560000 -0.012578 0.006005 1.181246 -0.040491 0.018972 0.362155 0.002057 0.004115 0.057006 -0.005086 -0.009126 0.100000 4.971248 4.973271 4.973932 4.971909
0.570000 -0.012985 0.006195 1.184874 -0.040907 0.019150 0.363497 0.002011 0.004023 0.058006 -0.004972 -0.008922 0.100000 4.970937 4.972917 4.973564 4.971584
0.580000 -0.013396 0.006388 1.188516 -0.041313 0.019324 0.364832 0.001966 0.003933 0.059006 -0.004861 -0.008723 0.100000 4.970624 4.972562 4.973194 4.971257
